0:(2,0),(12,0),(2,7),(6,3),(12,3),(3,9),(4,12),
1:(2,1),(12,1),(3,7),(7,3),(12,4),(4,9),(5,12),
2:(2,2),(12,2),(3,8),(7,4),(12,5),(5,9),(5,11),
3:(2,3),(12,3),(4,8),(7,5),(12,6),(6,9),(6,11),
4:(3,3),(12,4),(5,8),(7,6),(12,7),(7,9),(7,11),
5:(3,4),(12,5),(6,8),(7,7),(12,8),(8,9),(7,10),
6:(4,4),(12,6),(7,8),(7,7),(11,8),(9,9),(8,10),
7:(5,4),(12,7),(8,8),(7,8),(11,9),(9,8),(8,9),
8:(5,5),(12,8),(9,8),(7,9),(11,10),(10,8),(8,8),
9:(6,5),(12,9),(10,8),(7,10),(10,10),(11,8),(9,8),
10:(6,6),(11,9),(11,8),(8,10),(9,10),(12,8),(10,8),
11:(6,7),(10,9),(12,8),(9,10),(9,11),(12,7),(11,8),
12:(6,8),(10,10),(13,8),(9,10),(8,11),(12,6),(12,8),
13:(7,8),(9,10),(14,8),(8,10),(7,11),(13,6),(12,7),
14:(7,9),(9,11),(15,8),(9,10),(7,10),(13,5),(12,6),
15:(7,10),(9,12),(16,8),(10,10),(8,10),(13,4),(13,6),
16:(8,10),(9,13),(17,8),(11,10),(9,10),(13,3),(13,5),
17:(8,11),(8,13),(17,8),(12,10),(8,10),(13,2),(13,4),
18:(9,11),(7,13),(17,8),(13,10),(7,10),(14,2),(13,3),
19:(10,11),(7,13),(17,8),(13,10),(7,10),(15,2),(13,2),
20:(11,11),(7,13),(17,8),(13,10),(7,10),(16,2),(13,1),
21:(12,11),(7,13),(17,8),(13,10),(7,10),(16,2),(14,1),
22:(13,11),(7,13),(17,8),(13,10),(7,10),(16,2),(15,1),
23:(14,11),(7,13),(17,8),(13,10),(7,10),(16,2),(15,1),
24:(15,11),(7,13),(17,8),(13,10),(7,10),(16,2),(15,1),
25:(16,11),(7,13),(17,8),(13,10),(7,10),(16,2),(15,1),
26:(16,12),(7,13),(17,8),(13,10),(7,10),(16,2),(15,1),
27:(17,12),(7,13),(17,8),(13,10),(7,10),(16,2),(15,1),
28:(17,13),(7,13),(17,8),(13,10),(7,10),(16,2),(15,1),
